日期,订单号,店铺,商品,商品详情,列1,价格,列2,列3,列4,列5,交易状态3,交易状态2,交易状态1,交易状态4,交易状态5,列11,列12,列13,列14,列15,列16,列17,列18,列19,列20,列21,列22,列23,列24,列25,列26,列27,列28,列29,列30,列31,列32,列33,列34,列35,列36,列37,列38,列39,列40,列41,列42,列43,列44,列45,列46,列47,列48,列49,列50,列51,列52,列53,列54
2021/8/19,订单号: 2043278391079658774,创意礼物定制坊,七夕情人节礼物DIY定制钥匙扣照片招财猫汽车链挂件闺蜜情侣男女 [交易快照],颜色分类：橘色招财猫双面款+礼盒+定制2张,￥15.90,1,申请售后,投诉卖家,￥15.89,(含运费：￥0.00),交易成功,订单详情,双方已评,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/19,订单号: 2040990087684658774,jissbon杰士邦官方旗舰店,杰士邦SKYN极肤玻尿酸避孕套男用超薄安全套官方旗舰店正品非乳胶 [交易快照],颜色分类：【领券第2件9元】肤感玻尿酸10+肤感润1避孕套规格：其它规格颜色：其它颜色,￥119.00,￥109.00,2,申请售后,运费险已出单,￥118.00,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/17,订单号: 2035249488864658774,爵尊旗舰店,保鲜膜收纳带切割器磁吸家用膜盒切割盒食品专用冰箱保鲜膜套神器 [交易快照],颜色分类：白色保鲜膜切割器1个+保鲜膜1卷件数：1,￥68.00,￥39.00,1,申请售后,运费险已出单,￥37.00,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/17,订单号: 2034664632221658774,连宇数码专营店,任意机型手机壳定制苹果12液态硅胶iphone11图案文字照片华为p40/nova7/8/mate30荣耀50畅享9 [交易快照],颜色分类：奶油白（定制的内容和机型发给客服）,￥45.80,￥19.90,1,违规举报,定制详情,￥19.90,(含运费：￥0.00),交易关闭,订单详情,增值服务：高级定制,￥0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/17,订单号: 2036259074815658774,爱尔淘数码专营店,【来电价】苹果X手机壳8Plus女6S来图定制玻璃镜面iphone7硅胶XR软套照片11 pro私人定做情侣订制个性 [交易快照],颜色分类：苹果系列【白色磨砂软壳】来图定制,￥25.00,￥11.70,1,申请售后,定制详情,￥11.70,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,增值服务：高级定制,￥0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/17,订单号: 2034655524292658774,连宇数码专营店,任意机型手机壳定制苹果12液态硅胶iphone11图案文字照片华为p40/nova7/8/mate30荣耀50畅享9 [交易快照],颜色分类：古董白（定制的内容和机型发给客服）,￥45.80,￥19.90,1,违规举报,定制详情,￥19.90,(含运费：￥0.00),交易关闭,订单详情,增值服务：高级定制,￥0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/17,订单号: 2036916471274658774,连宇数码专营店,任意机型手机壳定制苹果12液态硅胶iphone11图案文字照片华为p40/nova7/8/mate30荣耀50畅享9 [交易快照],颜色分类：沙粉色（定制的内容和机型发给客服）,￥45.80,￥19.90,1,申请售后,定制详情,￥19.90,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,增值服务：高级定制,￥0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/17,订单号: 2034597276968658774,连宇数码专营店,任意机型手机壳定制苹果12液态硅胶iphone11图案文字照片华为p40/nova7/8/mate30荣耀50畅享9 [交易快照],颜色分类：古董白（定制的内容和机型发给客服）,￥45.80,￥19.90,1,违规举报,定制详情,￥19.90,(含运费：￥0.00),交易关闭,订单详情,增值服务：高级定制,￥0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/16,订单号: 2032570224424658774,天天特卖工厂店,usb3.0读卡器高速多合一万能tf卡多功能单反相机sd卡电脑车载手机 [交易快照],速度：USB3.0颜色分类：经典黑-SD/TF【USB 3.0】,本品由容县维星电子有限公司售卖,￥22.30,￥14.90,1,违规举报,退运保险,￥14.90,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/16,订单号: 2033326513602658774,人人美旗舰店,洗照片宝宝照片冲印拍立得包邮手机照加塑封冲洗打印相片相册刷晒 [交易快照],尺寸：6寸相纸：乐凯圣铂人像绒面颜色分类：100张经典照片,咨询客服送5元券,￥26.80,1,申请售后,￥21.70,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,查看礼包,申请开票,【赠品】随机匹配相册，单拍不发 [交易快照],￥0.01,￥0.00,1,申请售后,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/14,订单号: 2027509597394658774,jissbon杰士邦官方旗舰店,【礼遇价】杰士邦SKYN极肤玻尿酸避孕套男用超薄安全套官方旗舰店正品非乳胶 [交易快照],颜色分类：【肤感玻尿酸11只】 肤感玻尿酸10+肤感润1避孕套规格：其它规格颜色：其它颜色,￥109.90,￥99.90,1,违规举报,退运保险,￥79.90,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/10,订单号: 2020039527471658774,睿舞数码配件专营店,Type-c数据线原装正品5A适用华为小米p20p30p40vivo8充电器线nova7tpyec荣耀9x手机tpc [交易快照],长度：其他颜色分类：1.88米紫色[66W超级快充*提速500%]买1送1同款,￥13.00,￥12.90,1,申请售后,退运保险,￥11.49,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/10,订单号: 2019205586431658774,彦密码旗舰店,【店长推荐】彦颜密码脱毛膏女腋下腿腋毛清理男女士非喷雾套装 [交易快照],化妆品净含量：120g,￥124.00,1,申请售后,运费险已出单,￥114.00,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/10,订单号: 2017120428930658774,睿舞数码配件专营店,Type-c数据线原装正品5A适用华为小米p20p30p40vivo8充电器线nova7tpyec荣耀9x手机tpc [交易快照],长度：其他颜色分类：1.88米紫色[66W超级快充*提速500%]买1送1同款,￥13.00,￥12.90,1,查看退款,投诉商家,￥12.90,(含运费：￥0.00),交易关闭,订单详情,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/10,订单号: 2017121436023658774,睿舞数码配件专营店,Type-c数据线tpyec原装正品5A适用t–c华为8小米10荣耀9x充电器线tapec手机tpc快充tapyc短 [交易快照],长度：其他颜色分类：绿色1.88米[5A超级快充☆30分钟充满],￥10.90,￥9.80,1,违规举报,￥9.80,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/10,订单号: 2018299213240658774,睿舞数码配件专营店,type-c数据线tpyec充电线tepyc原装t正品typc快充5a器tapec适用tpc华为p30小米9荣耀8x [交易快照],长度：其他颜色分类：1.88米绿色[智能指示灯*66W超级快充*提速500%],￥10.90,￥10.80,1,违规举报,退运保险,￥9.62,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/5,订单号: 2004328764603658774,金士顿TOP商城,u盘128GB金士顿正品大容量手机电脑两用车载优盘3.0高速商务学生 [交易快照],套餐类型：官方标配颜色分类：黑色[拍下发黑色128G],￥228.00,￥39.80,1,投诉卖家,退运保险,￥36.80,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/5,订单号: 2005922882395658774,上海金士顿麒舰店,正品金士顿U盘512g3.0高速256G手机电脑两用128g车载32G优盘64g [交易快照],套餐类型：官方标配颜色分类：乳白色,￥136.90,￥36.90,1,申请售后,投诉卖家,运费险已出单,￥33.80,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/25,订单号: 1978429143133658774,onoza旗舰店,纯棉短袖t恤女修身显瘦夏装2021年新款小个子纯色设计感字母上衣 [交易快照],主要颜色：墨绿尺码：S[推荐80-105斤选择/修身版型],￥59.00,￥55.00,1,违规举报,￥37.00,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/25,订单号: 1978429143134658774,莎丽婷旗舰店,黑色百褶裙女夏款半身裙a字灰色白色高腰显瘦2021新款春款jk短裙 [交易快照],颜色分类：白色[夏款西装料]尺码：S[/腰-64厘米（85-95斤）],￥139.00,￥69.00,1,违规举报,退运保险,￥64.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/25,订单号: 1976278320883658774,耶古旗舰店,黑色西装短裤女夏季阔腿高腰垂感五分裤直筒宽松a字休闲中裤潮ins [交易快照],颜色分类：黑色-赠腰带-尺寸：S,￥199.00,￥59.00,1,违规举报,退运保险,￥59.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/25,订单号: 1976278320884658774,小鹿嗷嗷 studio,少女夏装套装两件套炸街时尚休闲减龄运动2021新款T恤阔腿短裤裙 [交易快照],颜色分类：美式狗头T恤[现货]尺码：S,￥58.00,1,投诉卖家,￥58.00,(含运费：￥0.00),交易关闭,订单详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/22,订单号: 1971172515435658774,onefesta海外旗舰店,日本花王Curel珂润控油保湿洁颜泡沫150ml洗面奶清洁毛孔氨基酸 [交易快照],化妆品净含量：150ml,￥169.00,￥78.00,1,退运保险,￥78.00,(含运费：￥0.00,进口税：价格已含税),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/22,订单号: 1970177257074658774,cocokarafine海外旗舰店,【惊喜价】Curel珂润洁面泡沫慕斯氨基酸洗面奶控油深层清洁敏感肌男女150ml [交易快照],￥158.00,￥83.00,1,投诉商家,申请售后,￥75.00,(含运费：￥0.00,进口税：价格已含税),交易成功,订单详情,查看物流,双方已评,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/19,订单号: 1962471205703658774,天天特卖工厂店,短裤男士2021新款夏季薄款ins潮流沙滩篮球裤外穿运动五分裤子男 [交易快照],颜色：300#纯黑色尺码：XL,本品由石狮诺驰服饰有限公司售卖,￥31.84,￥19.90,1,违规举报,退运保险,￥19.90,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/19,订单号: 1963420419556658774,洁思羽旗舰店,运动裤子男夏季薄款韩版潮直筒阔腿卫裤百搭休闲宽松九分长裤 [交易快照],颜色：0210黑色【直筒款】尺码：XL,￥59.00,￥29.90,1,申请售后,￥29.90,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/9,订单号: 1938153171904658774,gvz珠宝旗舰店,小方块电子手表男女潮流小学生初高中生男女儿童运动防水简约情侣 [交易快照],颜色分类：黑色,￥89.00,￥9.90,1,申请售后,￥9.90,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/7,订单号: 1931545441126658774,枫雪潮流年轻妈妈女装,中年妈妈棉绸套装女时尚外穿服夏季收腰遮肚宽松家居阔腿裤两件套 [交易快照],尺码：3XL码颜色分类：四号色,￥139.60,￥39.60,1,申请售后,投诉卖家,运费险已出单,￥39.60,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/23,订单号: 1899037011136658774,多宝莱旗舰店,小桌板可折叠桌子放在床上的学生笔记本电脑大学生懒人宿舍寝室卧室用书桌床桌学习写字看书神器家用坐地桌子 [交易快照],颜色分类：黑金丝内弧形(无卡槽杯托)60*40*28cm,￥39.80,￥19.90,1,查看退款,投诉商家,运费险已出单,￥19.90,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/20,订单号: 1892234127436658774,jissbon杰士邦官方旗舰店,【狂欢价】【畅销65国】杰士邦SKYN玻尿酸避孕套官网旗舰超薄极肤非乳胶安全 [交易快照],颜色分类：【双重体验14只】 极肤玻尿酸10+肤感润4避孕套规格：其它规格颜色：其它颜色,￥149.90,￥139.90,1,查看退款,投诉商家,￥109.90,(含运费：￥0.00),交易关闭,订单详情,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/18,订单号: 1882680985592658774,凯祺数码专营店,【狂欢价】数据线桌面理线器耳机缠线绕床头整理夹收纳usb线夹充电线固定卡扣器耳机防缠绕束线桌边收线扣集线器 [交易快照],颜色分类：5孔黑色【1个装】,￥30.00,￥5.90,1,查看退款,投诉商家,运费险已出单,￥5.90,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/17,订单号: 1877616612227658774,蘑菇小队日用百货创意小商品,发箍女夏天简约头箍韩国可爱发饰网红创意束发带发窟发卡发饰头饰 [交易快照],颜色分类：萝卜款,￥4.80,￥3.80,1,申请售后,投诉卖家,￥3.80,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/16,订单号: 1878448609719658774,婼谷旗舰店,【狂欢价】会行走的电动章鱼八爪鱼玩具儿童水陆两用戏水洗澡宝宝爬行小网红 [交易快照],颜色分类：章鱼小蓝【现货】,￥50.00,￥19.80,1,查看退款,投诉商家,运费险已赔付,垫付（19.80元）,￥19.80,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/16,订单号: 1328021320282658774,罗技官方旗舰店,【狂欢价】【官方旗舰店】罗技G402游戏鼠标有线8键可编辑宏电竞专用LOL魔兽世界吃鸡网吧笔记本台式机电脑外设 [交易快照],颜色分类：G402 有线鼠标套餐类型：官方标配,￥999.00,￥179.00,1,违规举报,退运保险,￥169.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/15,订单号: 1327499213125658774,芯洋电子企业店,cherry樱桃机械键盘轴体开关MX青轴红轴黑轴茶轴银轴静音红试轴器 [交易快照],颜色分类：樱桃透明黑轴4个套餐类型：官方标配,￥12.00,1,查看退款,投诉卖家,运费险已赔付,垫付（10.83元）,￥18.50,(含运费：￥0.00),交易关闭,订单详情,机械键盘轴体加厚硬钢质拔轴器客制化热拔插起轴器钢丝拔键器键帽 [交易快照],颜色分类：双用拔轴拔键器(实用推荐)套餐类型：官方标配,￥10.00,￥8.50,1,查看退款,投诉卖家,运费险已赔付,垫付（7.67元）,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/15,订单号: 1327499213128658774,键鼠麦配件商行,正品德国樱桃CHERRY MX机械键盘轴体黑轴青轴茶轴红轴银轴RGB静音 [交易快照],颜色分类：正品进口樱桃三脚RBG黑轴4个套餐类型：官方标配,￥10.00,1,查看退款,投诉卖家,运费险已赔付,垫付（10.00元）,￥10.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/14,订单号: 1873497135873658774,键鼠麦配件商行,正品德国樱桃CHERRY MX机械键盘轴体黑轴青轴茶轴红轴银轴RGB静音 [交易快照],颜色分类：正品进口樱桃三脚RBG黑轴4个套餐类型：官方标配,￥10.00,1,投诉卖家,退运保险,￥10.00,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/14,订单号: 1873496235728658774,芯洋电子企业店,cherry樱桃机械键盘轴体开关MX青轴红轴黑轴茶轴银轴静音红试轴器 [交易快照],颜色分类：樱桃透明黑轴4个套餐类型：官方标配,￥12.00,1,投诉卖家,退运保险,￥18.50,(含运费：￥0.00),交易关闭,订单详情,机械键盘轴体加厚硬钢质拔轴器客制化热拔插起轴器钢丝拔键器键帽 [交易快照],颜色分类：双用拔轴拔键器(实用推荐)套餐类型：官方标配,￥10.00,￥8.50,1,投诉卖家,退运保险,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/12,订单号: 1868934997617658774,金运涨沙专卖店,【狂欢价】蓝牙耳机无线airpods华强北洛达1562a三代pro适用iPhone苹果12高端2021年新款二代华为 [交易快照],套餐类型：官方标配颜色分类：【2代至尊版】全功能&bull：进口喇叭&bull：音质大幅提升&bull：1562M,￥1999.00,￥188.00,1,查看退款,投诉商家,运费险已赔付,垫付（158.00元）,￥158.00,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/12,订单号: 1869821931903658774,云舟办公用品专营店,英雄A12签字笔金属笔杆重手感中性笔黑色宝珠笔碳素0.5mm书写办公商务高档圆珠笔签名礼物私人定制logo刻字 [交易快照],颜色分类：雾蓝书写粗细：0.5mm,￥14.25,￥9.50,1,申请售后,运费险已出单,￥8.47,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/10,订单号: 1863601311277658774,连环马旗舰店,【狂欢价】苹果8plus钢化膜iphone8手机iphone7plus防窥膜i7全屏ip6s覆盖6splus七p八s [交易快照],适用手机型号：iPhone8plus颜色分类：白色【钻石细边膜】高清【3片】送神器+后膜+镜头膜,￥46.00,￥23.80,1,申请售后,运费险已出单,￥38.28,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,【狂欢价】opporeno5钢化膜reno4防窥膜4se全屏2/3/5k原装oppoace手机opporenoz10 [交易快照],适用手机型号：OPPO Reno Z颜色分类：【钻石细边膜】高清【2片】送神器+后膜+镜头膜,￥41.00,￥18.80,1,申请售后,运费险已出单,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/9,订单号: 1861744933792658774,山山旗舰店,山山除湿袋可挂式防霉干燥剂防潮衣柜室内吸潮宿舍学生吸湿盒神器 [交易快照],￥38.00,￥15.90,1,申请售后,运费险已出单,￥8.90,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/8,订单号: 1859325230598658774,博远时代数码配件专营店,苹果六手机5S/6s 6plus 7P home键贴膜iphone6s指纹识别按键贴卡通痛机贴指纹贴膜ipad指纹识 [交易快照],贴纸颜色：太空银,￥3.70,￥2.50,1,申请售后,￥4.96,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,苹果六手机5S/6s 6plus 7P home键贴膜iphone6s指纹识别按键贴卡通痛机贴指纹贴膜ipad指纹识 [交易快照],贴纸颜色：玫瑰金,￥3.70,￥2.50,1,申请售后,【赠品】按键贴玫瑰金 [交易快照],￥5.00,￥0.00,1,申请售后,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/8,订单号: 1859852631727658774,mosbo数码旗舰店,苹果8钢化膜iphone7全屏覆盖plus全面屏7p手机iPhone8p全包边ip7七i7无白边ip8八i8玻璃sp [交易快照],适用手机型号：iphone 其他型号颜色分类：5.5寸 苹果7plus/8plus 大视窗小边【白色】高清2片,￥20.80,￥10.80,1,违规举报,￥10.48,(含运费：￥0.00),交易关闭,订单详情,征集买家秀【3-5张晒图+20字评语】截图联系客服，领取2元红包 [交易快照],￥25.80,￥0.00,1,违规举报,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/5,订单号: 1849680326361658774,elecall旗舰店,螺丝刀工具套装十字家用万用表一字多功能小起子批笔记本拆机改锥 [交易快照],颜色分类：3*75（十字）,￥5.18,￥2.59,1,申请售后,运费险已出单,￥2.52,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/5,订单号: 1849676798855658774,乙木工坊旗舰店,小镜子女随身便携台式折叠化妆镜宿舍桌面放大双面梳妆美容手柄镜 [交易快照],颜色分类：台式--反面三倍放大--椭圆形,￥54.00,￥19.90,1,申请售后,运费险已出单,￥19.90,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/5,订单号: 1848303864769658774,卡如柔旗舰店,防走光贴衬衣衬衫肩带吊带裙子防滑神器领口衣服隐形胸口防滑贴 [交易快照],颜色分类：【60枚装】50枚小号（今日下单再赠10枚）,￥28.00,￥8.50,1,申请售后,￥8.50,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/6/4,订单号: 1846731780700658774,汉远数码专营店,电脑键盘清洁泥神器软胶笔记本手机屏幕清洁剂清理清洗粘灰套装 [交易快照],颜色分类：绿色十袋【80克/袋】,￥10.90,1,申请售后,￥10.90,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/31,订单号: 1313387934173658774,欧普照明官方旗舰店,欧普开关插座面板暗装86型电源一开5五孔多孔带开关K12家用墙壁Z [交易快照],颜色分类：电工胶布,￥5.50,￥2.30,1,查看退款,投诉商家,退运保险,￥2.30,(含运费：￥0.00),交易关闭,订单详情,申请开票,增值服务：家装三年质保,￥0.00,1,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/24,订单号: 1820206011981658774,环雨旗舰店,仪式感礼盒ins风高级感礼物盒子男生款简约网红礼品包装空盒大号 [交易快照],颜色分类：礼盒+礼袋+香槟色拉菲草+自动亮灯+许愿兔+贺卡尺寸：4号-29*21*9cm可装保温杯.高跟鞋,￥43.80,￥33.80,1,查看退款,投诉商家,运费险已赔付,垫付（33.80元）,￥33.80,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/20,订单号: 1811067877466658774,嘉兰杜汀旗舰店,【礼遇价】嘉兰杜汀提亮水乳套装烟酰胺度丁订正品原装进口韩国GalanDutin [交易快照],颜色分类：提亮水乳套装,￥520.00,1,申请售后,运费险已出单,￥420.00,(含运费：￥0.00),交易成功,订单详情,花呗账单,双方已评,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/16,订单号: 1798753500729658774,anivia旗舰店,礼品盒子ins风精美韩版大号女生款创意生日礼盒空盒包装盒礼物盒 [交易快照],颜色分类：礼盒+礼袋+贺卡+流星球+灯串+许愿兔+花束尺寸：中号21*21*9cm可装水杯.化妆品.剃须刀,￥69.60,￥34.80,1,申请售后,￥32.80,(含运费：￥0.00),交易成功,订单详情,双方已评,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/11,订单号: 1297283731943658774,卡波昂旗舰店,【国货大赏价】【续航6小时 洛达悦虎1562m】虎头标无线蓝牙耳机华强北原装正品二代iPhone适用于苹果2021年 [交易快照],套餐类型：官方标配颜色分类：【悦虎终结版】6h续航◆可拆机&middot：软件检测◆ 送无线充 紫,￥599.00,￥166.00,1,违规举报,退运保险,￥165.91,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/5,订单号: 1771511688478658774,认食牛旗舰店,正宗风干牛肉干手撕超干特产内蒙古西藏四川牦牛耗牛麻辣零食小吃 [交易快照],口味：麻辣+青花椒麻辣【不是牛肉赔十倍 超市品质 藏式新口味 】,￥199.00,￥139.80,1,违规举报,退运保险,￥109.80,(含运费：￥0.00),交易关闭,订单详情,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/3,订单号: 1766730493225658774,爱淘优品鞋类专营店,【55盛典价】回力透气男鞋2021年新款低帮帆布鞋夏季百搭男士潮流板鞋休闲鞋子 [交易快照],颜色分类：958白灰深蓝尺码：43[男生正码，女生需拍小一码],￥125.00,￥89.00,1,查看退款,投诉商家,运费险已出单,￥80.10,(含运费：￥0.00),交易关闭,订单详情,申请开票,保险服务,￥0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/2,订单号: 1766080081840658774,浩瀚电子书城,1秒速发 最优化理论与算法习题解答 陈宝林 13052854 PDF电子版 [交易快照],￥12.00,￥4.32,1,申请售后,投诉卖家,￥4.32,(含运费：￥0.00),交易成功,订单详情,双方已评,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/5/2,订单号: 1763978761848658774,lazybugstudio旗舰店,【55盛典价】苹果7plus钢化膜iphone8plus全屏覆盖i7全包边8p抗蓝光护眼防摔7p八7splus了手机 [交易快照],适用手机型号：iPhone8plus颜色分类：新款【宝石级★全屏高清】白色2片*收藏送13礼,￥41.00,￥18.80,1,查看退款,投诉商家,￥16.92,(含运费：￥0.00),交易关闭,订单详情,申请开票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
